pass_id,labez,lesart
75,b,καταβαινον ως περιστεραν
75,c,καταβαινον απο του ουρανου ωσει περιστεραν
76,a,ως
76,b,ωσει
77,a,καταβαινον
77,b,καταβαινων
77,c,καταβαινουσαν
78,a,εις αυτον
78,b,επ αυτον
78,c,επ αυτου
78,d,και μενον επ αυτον
78,f,και μενον επ αυτω
78,g,και μενον εν αυτω
79,a,""
79,b,ιδου
80,a,εγενετο εκ των ουρανων
80,b,εκ των ουρανων εγενετο
80,c,εγενετο εκ του ουρανου
80,e,εκ των ουρανων
81,a,""
81,b,λεγουσα
81,c,ηκουσθη λεγουσα (cf. 6-12e)
81,d,ηκουσθη (cf. 6-12e)
82,a,συ ει
82,b,ουτος εστιν (cf. 30b)
82,c,συ
83,a,ο υιος μου
83,b,""
84,a,σοι
84,b,ω
85,a,το πνευμα αυτον εκβαλλει
85,b,το πνευμα εκβαλλει αυτον
85,c,αυτον το πνευμα εκβαλλει
85,d,εκβαλλει αυτον το πνευμα
85,e,το πνευμα εκβαλλει τον ιησουν
85,f,το πνευμα το αγιον εκβαλλει αυτον
85,g,το πνευμα εκβαλλει
86,a,και ην εν τη ερημω
86,b,και ην εκει εν τη ερημω
181,b,""
86,c,και εκει ην εν τη ερημω
86,d,και ην εκει
86,e,""
87,a,""
87,b,μονος
87,c,επι
88,a,τεσσερακοντα ημερας
88,b,ημερας τεσσερακοντα
89,a,""
89,b,και τεσσερακοντα νυκτας
89,c,και νυκτας τεσσερακοντα
89,d,και
90,a,υπο
90,b,απο
91,a,σατανα
91,b,διαβολου
92,a,""
92,b,εκει
93,a,""
93,b,διαγων
94,a,οι
94,b,""
95,a,μετα δε
95,b,και μετα
95,c,μετα
96,a,το
96,b,""
97,a,""
97,b,ουν
97,c,και
98,a,τον
98,b,""
99,a,ο ιησους
99,b,ιησους
99,c,""
100,a,εις την γαλιλαιαν
100,b,εις γαλιλαιαν
100,c,""
101,a,""
101,b,διδασκων και
102,a,το ευαγγελιον
102,b,το ευαγγελιον της βασιλειας
102,c,την βασιλειαν
103,a,του θεου
103,b,""
104,a,και λεγων
104,b,λεγων
104,c,""
105,a,οτι
105,b,""
106,a,πεπληρωται ο καιρος και
106,b,πεπληρωνται οι καιροι και
106,c,πεπληρωκεν ο καιρος και
106,d,πεπληρωται και
106,e,""
107,a,ηγγικεν η βασιλεια του θεου
107,b,η βασιλεια του θεου ηγγικεν
108,a,ηγγικεν
108,b,ηγγισεν
108,zu,""
109,a,του θεου
109,b,των ουρανων
109,zu,""
110,a,και
110,b,""
111,a,πιστευετε
111,b,πιστευσετε
111,c,πιστευσατε
112,a,εν
112,b,""
113,a,τω
113,b,""
114,a,""
114,b,του θεου
115,a,και παραγων
115,b,παραγων δε
115,c,τω καιρω εκεινω παραγων
115,d,περιπατων και
115,e,περιπατων δε
115,f,τω καιρω εκεινω περιπατων
116,a,""
116,b,ο ιησους
116,c,ο κυριος ημων ιησους ο χριστος
117,a,παρα
117,b,περι
117,c,επι
118,a,της γαλιλαιας
118,b,την γαλιλαιας
118,c,""
119,a,""
119,b,τον
120,a,""
120,b,τον λεγομενον πετρον
121,a,τον αδελφον σιμωνος
121,b,αυτου του σιμωνος τον αδελφον
122,a,σιμωνος
122,b,αυτου του σιμωνος
122,c,αυτου σιμωνος
122,d,του σιμωνος
122,e,αυτου
123,a,αμφιβαλλοντας
123,b,αμφιβαλλοντας αμφιβληστρον
123,c,αμφιβαλλοντας τα δικτυα
123,d,βαλλοντας αμφιβληστρον
123,e,αμφιβληστρον βαλλοντας
123,f,αμφιβληστρα βαλλοντας
123,g,βαλλοντος αμφιβληστρον
124,a,εν τη θαλασση
124,b,εις την θαλασσαν
124,c,εν θαλασση
125,a,ειπεν
125,b,λεγει
126,a,ο ιησους
126,b,ιησους
126,c,""
127,a,οπισω μου
127,b,""
128,a,""
128,b,και
129,a,υμας
129,b,ημας
130,a,γενεσθαι αλιεις ανθρωπων και ευθυς αφεντες τα δικτυα
130,b,αλιεις ανθρωπων
131,a,γενεσθαι αλιεις ανθρωπων
131,b,αλιεις ανθρωπων γενεσθαι
131,c,αλιεις γενεσθαι ανθρωπων
131,d,αλιεις ανθρωπων
131,zu,""
132,a,και
132,b,""
132,zu,""
133,a,αφεντες
133,b,""
133,zu,""
134,a,τα δικτυα
134,b,τα λινα
134,c,παντα
134,zu,""
135,a,""
135,b,αυτου
135,c,αυτων
135,zu,""
136,a,ηκολουθησαν
136,b,ηκολουθουν
